云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1592552126398074880|消费|161820|0|2022-11-16 00:16:39|2211162898968511230|161820|221116129230521101|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****y2Io|-|5603020591235AN|5603020591235AN|
1592556201822924800|消费|337500|0|2022-11-16 00:32:52|2211162996168158467|337500|221116124630505694|1350|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****OtBc|-|5603020591235AN|5603020591235AN|
1592559478786498560|消费|107880|0|2022-11-16 00:45:52|2211163074268643172|107880|221116123430511805|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****8Zcc|-|5603020591235AN|5603020591235AN|
1592574408399007744|消费|19900|0|2022-11-16 01:45:12|2211163430168661728|19900|221116126130515630|80|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****rBHs|-|5603020591235AN|5603020591235AN|
1592578451083104256|平台转账|16163501|0|2022-11-16 02:01:06|d8d8599c-d382-4265-b4ce-02ab6ff9b595|0|0|0|0|0|0||||||||||||
1592578452563705856|平台转账|345711|0|2022-11-16 02:01:06|9256f794-571a-47ad-925e-6b2f4b3992b8|0|0|0|0|0|0||||||||||||
1592578453817790464|平台转账|6822|0|2022-11-16 02:01:06|8cc32a64-d2aa-43bc-807c-dcfa6ec826f9|0|0|0|0|0|0||||||||||||
1592578455118036992|平台转账|5368|0|2022-11-16 02:01:07|589f2a00-16bf-4924-bc15-ff65d029790c|0|0|0|0|0|0||||||||||||
1592578456388911104|平台转账|85187|0|2022-11-16 02:01:07|f15b6788-616f-4d28-bd18-8cb2d36fe901|0|0|0|0|0|0||||||||||||
1592578458104369152|平台转账|14533373|0|2022-11-16 02:01:07|a10169af-2b74-4f3c-8c58-8583db0c5a8d|0|0|0|0|0|0||||||||||||
1592578459274588160|平台转账|206567|0|2022-11-16 02:01:08|5255f9fc-f255-4324-a07b-45b344c924e4|0|0|0|0|0|0||||||||||||
1592578460595798016|平台转账|28557134|0|2022-11-16 02:01:08|3f9cdd57-9b8c-41e5-a135-760e8b2e25bd|0|0|0|0|0|0||||||||||||
1592578461774385152|平台转账|3491528|0|2022-11-16 02:01:08|88ef7699-84c9-4f94-ac4a-ea2b35705d8e|0|0|0|0|0|0||||||||||||
1592587877710045184|消费|161820|0|2022-11-16 02:38:40|2211163751368493593|161820|221116123930518662|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****YQEo|-|5603020591235AN|5603020591235AN|
1592595809537376256|消费|9900|0|2022-11-16 03:10:13|2211163940468303624|9900|221116128630513572|40|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****so0Q|-|5603020591235AN|5603020591235AN|
1592611897717297152|消费|53500|0|2022-11-16 04:14:10|2211164324068128121|53500|221116124830503268|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****JxgY|-|5603020591235AN|5603020591235AN|
1592637897578647552|消费|88500|0|2022-11-16 05:57:30|2211164943868528796|88500|221116120630518961|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****kA8k|-|5603020591235AN|5603020591235AN|
1592645531320983552|消费|65800|0|2022-11-16 06:27:58|2211165125868237313|65800|221116129930513510|263|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****giTg|信用卡|5603020591235AN|5603020591235AN|
1592652081209020416|消费|14400|0|2022-11-16 06:53:47|2211165282068717007|14400|221116122330511748|58|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****xL3Q|-|5603020591235AN|5603020591235AN|
1592652636832677888|消费|12180|0|2022-11-16 06:56:15|2211165295368852572|12180|221116121330505701|49|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****PZHo|-|5603020591235AN|5603020591235AN|
1592654699163566080|消费|88500|0|2022-11-16 07:04:21|2211165344468966905|88500|221116127630506737|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****9kQE|-|5603020591235AN|5603020591235AN|
1592655007365218304|消费|88500|0|2022-11-16 07:05:33|2211165351868718668|88500|221116126530508402|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****3xaw|-|5603020591235AN|5603020591235AN|
1592656237030281216|消费|29420|0|2022-11-16 07:10:17|2211165381168277244|29420|221116128230505696|118|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****iZrs|-|5603020591235AN|5603020591235AN|
