云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1596171830983405568|消费|21600|0|2022-11-26 00:00:12|2211259199469165080|21600|221125124631189179|86|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****v6C4|-|5603020591235AN|5603020591235AN|
1596172524591263744|消费|161820|0|2022-11-26 00:02:51|2211269215969161327|161820|221126122831190004|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****MnbU|-|5603020591235AN|5603020591235AN|
1596173395223912448|消费|500|0|2022-11-26 00:06:18|2211269236769181561|500|221126129331201390|2|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****oCnk|信用卡|5603020591235AN|5603020591235AN|
1596174486107856896|消费|500|0|2022-11-26 00:10:38|2211269262769564393|500|221126122131192788|2|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****oCnk|信用卡|5603020591235AN|5603020591235AN|
1596202389637959680|平台转账|16812974|0|2022-11-26 02:01:20|fae4152b-b938-4ca1-b684-e9645c5a453a|0|0|0|0|0|0||||||||||||
1596202393953902592|平台转账|148416|0|2022-11-26 02:01:21|db65adf4-7590-4369-9580-fa556cbf2269|0|0|0|0|0|0||||||||||||
1596202397590368256|平台转账|123803|0|2022-11-26 02:01:22|91b660a6-1821-4e17-905a-e6773c4ac852|0|0|0|0|0|0||||||||||||
1596202401440743424|平台转账|14810|0|2022-11-26 02:01:23|149b8120-d7f2-445f-a65e-8174bfb4e684|0|0|0|0|0|0||||||||||||
1596202404984918016|平台转账|18146133|0|2022-11-26 02:01:24|4d2dda3f-f9bc-44e6-b37c-c6cd4d927a50|0|0|0|0|0|0||||||||||||
1596202407883186176|平台转账|56562013|0|2022-11-26 02:01:25|075dcda0-7326-4384-9670-7b0e9a39d167|0|0|0|0|0|0||||||||||||
1596202412920545280|平台转账|1999268|0|2022-11-26 02:01:26|58295cdc-5860-4192-ac2e-04371d623de8|0|0|0|0|0|0||||||||||||
1596216533497954304|消费|102600|0|2022-11-26 02:57:39|2211260265269567338|102600|221126123731195074|410|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****5DBg|-|5603020591235AN|5603020591235AN|
1596269798390509568|消费|161820|0|2022-11-26 06:29:18|2211261535169133738|161820|221126126431196980|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ePZA|-|5603020591235AN|5603020591235AN|
1596277854495055872|消费|53940|0|2022-11-26 07:01:19|2211261727269117189|53940|221126127331202796|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****lSes|-|5603020591235AN|5603020591235AN|
1596278301276520448|消费|161820|0|2022-11-26 07:03:05|2211261737869049116|161820|221126129531195104|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****yQG0|信用卡|5603020591235AN|5603020591235AN|
1596280843133796352|消费|102600|0|2022-11-26 07:13:12|2211261798469417958|102600|221126120731198257|410|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****-U9w|-|5603020591235AN|5603020591235AN|
1596286962656886784|消费|53940|0|2022-11-26 07:37:34|2211261944369837159|53940|221126126431199496|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****BM7c|-|5603020591235AN|5603020591235AN|
1596287226608619520|消费|88500|0|2022-11-26 07:38:35|2211261950669304453|88500|221126123831208065|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Z9io|-|5603020591235AN|5603020591235AN|
1596288199385169920|消费|107880|0|2022-11-26 07:42:25|2211261973869594498|107880|221126124531188982|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****fgW8|-|5603020591235AN|5603020591235AN|
1596288343165906944|消费|205200|0|2022-11-26 07:43:00|2211261977369954088|205200|221126125431197958|821|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****vjbs|-|5603020591235AN|5603020591235AN|
1596289359852605440|消费|10200|0|2022-11-26 07:47:01|2211262001569720098|10200|221126128531198603|41|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****EkzA|-|5603020591235AN|5603020591235AN|
1596290616050847744|消费|53940|0|2022-11-26 07:52:00|2211262031569553075|53940|221126120231202469|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****6jK0|-|5603020591235AN|5603020591235AN|
1596291115831541760|消费|112500|0|2022-11-26 07:54:05|2211262043469690657|112500|221126126631200938|450|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****wYSo|信用卡|5603020591235AN|5603020591235AN|
1596291410837913600|消费|91220|0|2022-11-26 07:55:11|2211262050469985856|91220|221126121031196053|365|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****-NrM|-|5603020591235AN|5603020591235AN|
1596292339611996160|消费|10200|0|2022-11-26 07:58:55|2211262072569465802|10200|221126125331194472|41|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****EkzA|-|5603020591235AN|5603020591235AN|
1596292416694927360|消费|120897|0|2022-11-26 07:59:17|2211262074469583157|120897|221126123931208500|484|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****mkOM|-|5603020591235AN|5603020591235AN|
1596293210961874944|消费|10200|0|2022-11-26 08:02:19|2211262093369934866|10200|221126123531201856|41|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****szaA|-|5603020591235AN|5603020591235AN|
1596296901387358208|消费|36000|0|2022-11-26 08:16:59|2211262181269787115|36000|221126124631196514|144|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Julg|-|5603020591235AN|5603020591235AN|
1596297768454852608|消费|107880|0|2022-11-26 08:20:36|2211262202069643100|107880|221126127431209741|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****PRno|-|5603020591235AN|5603020591235AN|
1596298828577775616|消费|12400|0|2022-11-26 08:24:40|2211262227269873349|12400|221126127231198069|50|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****0kys|信用卡|5603020591235AN|5603020591235AN|
1596299105011773440|消费|161820|0|2022-11-26 08:25:46|2211262233869726322|161820|221126129431200882|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****NY8s|-|5603020591235AN|5603020591235AN|
1596299864436641792|消费|161820|0|2022-11-26 08:28:50|2211262251969143350|161820|221126128731203331|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****sZnI|信用卡|5603020591235AN|5603020591235AN|
1596301442770022400|消费|53500|0|2022-11-26 08:35:02|2211262289669448276|53500|221126127631198230|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****rCQA|-|5603020591235AN|5603020591235AN|
1596301854541619200|消费|112500|0|2022-11-26 08:36:45|2211262299469138549|112500|221126122031206654|450|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****dGgo|信用卡|5603020591235AN|5603020591235AN|
1596303807774470144|消费|53940|0|2022-11-26 08:44:28|2211262346069796047|53940|221126128131208052|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****3J6w|-|5603020591235AN|5603020591235AN|
1596303881569046528|消费|44600|0|2022-11-26 08:44:45|2211262347769561761|44600|221126120731204040|178|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****XOMU|信用卡|5603020591235AN|5603020591235AN|
1596303916398555136|消费|4650|0|2022-11-26 08:44:52|2211262348569886309|4650|221126112746989960|19|0|0|0||||WECHATPAY_MINIPROGRAM_ORG|||微信支付|o3OMr5****HFSI|信用卡|561301059126Z30|5533020591240AP|
1596304039476203520|消费|107880|0|2022-11-26 08:45:23|2211262351569290621|107880|221126123331202213|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Syl4|-|5603020591235AN|5603020591235AN|
1596304923635499008|消费|329000|0|2022-11-26 08:48:53|2211262372669865652|329000|221126122231214632|1316|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****pPXo|-|5603020591235AN|5603020591235AN|
1596305416604622848|消费|53940|0|2022-11-26 08:50:50|2211262384369829178|53940|221126129631204401|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****_JDs|-|5603020591235AN|5603020591235AN|
1596305567410823168|消费|116000|0|2022-11-26 08:51:27|2211262387969369912|116000|221126127931208746|464|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****IqCo|-|5603020591235AN|5603020591235AN|
1596305818242793472|消费|107880|0|2022-11-26 08:52:26|2211262393969077822|107880|221126120031209813|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****9QGw|-|5603020591235AN|5603020591235AN|
1596306517412294656|消费|107000|0|2022-11-26 08:55:14|2211262410669203971|107000|221126124431202953|428|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****U4PY|-|5603020591235AN|5603020591235AN|
1596306538559979520|消费|118800|0|2022-11-26 08:55:27|2211262411169525430|118800|221126126631205619|475|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ah8o|-|5603020591235AN|5603020591235AN|
1596307026986672128|消费|53940|0|2022-11-26 08:57:14|2211262422769677074|53940|221126129431203500|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Pnyk|-|5603020591235AN|5603020591235AN|
1596307152052424704|消费|53940|0|2022-11-26 08:57:44|2211262425769288363|53940|221126122031208526|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****xu6E|信用卡|5603020591235AN|5603020591235AN|
1596307163343491072|消费|337500|0|2022-11-26 08:57:47|2211262425969076167|337500|221126127531209201|1350|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ejyg|信用卡|5603020591235AN|5603020591235AN|
1596307441115471872|消费|13800|0|2022-11-26 08:58:53|2211262432669395897|13800|221126114846975278|55|0|0|0||||WECHATPAY_MINIPROGRAM_ORG|||微信支付|o3OMr5****8Jgs|-|561301059126Z30|5533020591240AP|
1596307421049925632|消费|337500|0|2022-11-26 08:58:57|2211262432169935721|337500|221126124931210516|1350|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ejyg|-|5603020591235AN|5603020591235AN|
1596307834402775040|消费|20700|0|2022-11-26 09:00:27|2211262442069762468|20700|221126127731203317|83|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****0D2I|-|5603020591235AN|5603020591235AN|
1596307935640690688|消费|93600|0|2022-11-26 09:00:49|2211262444469568625|93600|221126121831215581|374|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Lj80|-|5603020591235AN|5603020591235AN|
1596308624680951808|消费|53940|0|2022-11-26 09:03:34|2211262460869519665|53940|221126125331199739|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****XkF0|-|5603020591235AN|5603020591235AN|
1596308916705173504|消费|24408|0|2022-11-26 09:04:44|2211262467869767210|24408|221126124931211100|98|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****9l-M|-|5603020591235AN|5603020591235AN|
1596308989367291904|消费|177000|0|2022-11-26 09:05:01|2211262469569924623|177000|221126121231202498|708|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Dhjo|-|5603020591235AN|5603020591235AN|
1596309274424786944|消费|102600|0|2022-11-26 09:06:09|2211262476369828540|102600|221126125231200116|410|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****xYLw|-|5603020591235AN|5603020591235AN|
1596309319773601792|消费|40600|0|2022-11-26 09:06:21|2211262477469058802|40600|221126124531195281|162|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****v0tg|-|5603020591235AN|5603020591235AN|
1596309708984037376|消费|265500|0|2022-11-26 09:07:56|2211262486769665310|265500|221126127031197586|1062|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****qd7A|-|5603020591235AN|5603020591235AN|
1596309873098756096|消费|53940|0|2022-11-26 09:08:34|2211262490669433447|53940|221126120331203662|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****v-_0|-|5603020591235AN|5603020591235AN|
1596310134441648128|消费|161820|0|2022-11-26 09:09:34|2211262496869062380|161820|221126126531201157|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****T9pM|-|5603020591235AN|5603020591235AN|
1596310191639371776|消费|102600|0|2022-11-26 09:09:51|2211262498269928995|102600|221126120631215037|410|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****nSWQ|信用卡|5603020591235AN|5603020591235AN|
1596310680439361536|消费|116000|0|2022-11-26 09:11:48|2211262509869139432|116000|221126128831209134|464|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Fy2E|-|5603020591235AN|5603020591235AN|
1596310831417536512|消费|161820|0|2022-11-26 09:12:20|2211262513469646916|161820|221126122531213249|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****n3xc|-|5603020591235AN|5603020591235AN|
1596311284926648320|消费|107880|0|2022-11-26 09:14:09|2211262524269286501|107880|221126124731205531|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****lQNg|-|5603020591235AN|5603020591235AN|
1596311577374498816|消费|37800|0|2022-11-26 09:15:19|2211262531269046876|37800|221126121531215319|151|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****7p5U|信用卡|5603020591235AN|5603020591235AN|
1596311770383790080|消费|16800|0|2022-11-26 09:16:04|2211262535869577221|16800|221126126431206867|67|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****u1VY|-|5603020591235AN|5603020591235AN|
1596311781351899136|消费|12700|0|2022-11-26 09:16:09|2211262536169199295|12700|221126126631207529|51|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Cyf0|-|5603020591235AN|5603020591235AN|
1596311812842729472|消费|65600|0|2022-11-26 09:16:18|2211262536869420402|65600|221126127131202409|262|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****LWzo|信用卡|5603020591235AN|5603020591235AN|
1596312295120580608|消费|49200|0|2022-11-26 09:18:24|2211262548369085866|49200|221126125831207041|197|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****g_nY|-|5603020591235AN|5603020591235AN|
1596313485778624512|退款|19000|0|2022-11-26 09:22:49|2211262575769542480|19000|221126126631208149|-76|0|0|0|||||2211229682269489874|1594933791791517696|微信退货|o2mUlw****uLrw|信用卡|5603020591235AN|5603020591235AN|
1596313528447275008|消费|88500|0|2022-11-26 09:23:03|2211262577769751583|88500|221126124531196851|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****p9YA|-|5603020591235AN|5603020591235AN|
1596313528036233216|消费|161820|0|2022-11-26 09:23:11|2211262577769288697|161820|221126129831213542|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****tCqA|信用卡|5603020591235AN|5603020591235AN|
1596313890512183296|消费|161820|0|2022-11-26 09:24:34|2211262586469822869|161820|221126125931197030|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****1y_s|-|5603020591235AN|5603020591235AN|
1596314667846737920|消费|88500|0|2022-11-26 09:27:39|2211262604969144373|88500|221126129431206410|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****R1f4|-|5603020591235AN|5603020591235AN|
1596314869563396096|退款|53940|0|2022-11-26 09:28:18|2211262608569405027|53940|221126123831216571|-216|0|0|0|||||2211262031569553075|1596290616050847744|微信退货|o2mUlw****6jK0|-|5603020591235AN|5603020591235AN|
1596315558725292032|消费|70800|0|2022-11-26 09:31:14|2211262626169658712|70800|221126120731208328|283|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****mwfY|-|5603020591235AN|5603020591235AN|
1596316150839386112|消费|161820|0|2022-11-26 09:33:35|2211262640269259976|161820|221126125231202832|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****685M|-|5603020591235AN|5603020591235AN|
1596316426157699072|消费|88500|0|2022-11-26 09:34:37|2211262646869703508|88500|221126123331206771|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****U-g0|-|5603020591235AN|5603020591235AN|
1596316490427019264|消费|116000|0|2022-11-26 09:34:57|2211262648369557747|116000|221126121431212066|464|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Y0BY|-|5603020591235AN|5603020591235AN|
1596316938164781056|消费|103200|0|2022-11-26 09:36:41|2211262659069177616|103200|221126124331205584|413|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****SN3g|-|5603020591235AN|5603020591235AN|
1596317271171534848|退款|1500|0|2022-11-26 09:37:51|2211262665969438102|1500|221126124931214341|-5|0|0|0|||||2211213062469173894|1594656136491970560|微信退货|o2mUlw****xyGU|-|5603020591235AN|5603020591235AN|
1596317539342749696|消费|46620|0|2022-11-26 09:39:07|2211262673369839754|46620|221126125431207332|186|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ptus|-|5603020591235AN|5603020591235AN|
1596317628471713792|消费|51200|0|2022-11-26 09:39:21|2211262675569866282|51200|221126125131202834|205|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Rjsw|-|5603020591235AN|5603020591235AN|
1596317689482055680|消费|53500|0|2022-11-26 09:39:36|2211262676969029318|53500|221126121831219381|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****rC3E|-|5603020591235AN|5603020591235AN|
1596317771778494464|消费|107880|0|2022-11-26 09:39:59|2211262678969420377|107880|221126123031211907|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****1usc|-|5603020591235AN|5603020591235AN|
1596317793353998337|消费|28800|0|2022-11-26 09:40:00|2211262679469173300|28800|221126127131204687|115|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****GfW8|-|5603020591235AN|5603020591235AN|
1596318133843406848|消费|53940|0|2022-11-26 09:41:23|2211262687569242411|53940|221126129231220870|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****lHU4|信用卡|5603020591235AN|5603020591235AN|
1596319169681309696|消费|360000|0|2022-11-26 09:45:34|2211262712269041042|360000|221126127531213806|1440|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****llow|信用卡|5603020591235AN|5603020591235AN|
1596319090241183744|消费|77800|0|2022-11-26 09:45:38|2211262710369860287|77800|221126125131203391|311|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****4CDw|-|5603020591235AN|5603020591235AN|
1596319845446598656|消费|40500|0|2022-11-26 09:48:12|2211262728369102883|40500|221126127431217667|162|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****hDHM|-|5603020591235AN|5603020591235AN|
1596319989667729408|消费|53500|0|2022-11-26 09:48:49|2211262731869836151|53500|221126124431208102|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****qnxU|-|5603020591235AN|5603020591235AN|
1596320059590975488|消费|49200|0|2022-11-26 09:49:03|2211262733469483875|49200|221126125331204089|197|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****koNw|-|5603020591235AN|5603020591235AN|
1596320646600601600|消费|154440|0|2022-11-26 09:51:21|2211262747469692160|154440|221126120731210358|618|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****_Xfc|-|5603020591235AN|5603020591235AN|
