云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1587838099629551616|消费|52500|0|2022-11-03 00:04:44|2211030507867056553|52500|221103127629610305|210|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Mbp8|-|5603020591235AN|5603020591235AN|
1587854703125868544|消费|29400|0|2022-11-03 01:10:43|2211030903667220636|29400|221103124329609845|118|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ZJYg|-|5603020591235AN|5603020591235AN|
1587857714623557632|消费|205200|0|2022-11-03 01:22:41|2211030975467049848|205200|221103120929612613|821|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****35BU|-|5603020591235AN|5603020591235AN|
1587867416094851072|平台转账|46756270|0|2022-11-03 02:01:07|a3fa72ab-7f04-4ab2-bfc9-e0be77d7a203|0|0|0|0|0|0||||||||||||
1587867417881620480|平台转账|3389388|0|2022-11-03 02:01:08|e5dbd612-22e4-4358-ac40-aae688a1e389|0|0|0|0|0|0||||||||||||
1587867419571916800|平台转账|190208|0|2022-11-03 02:01:08|e7554633-45a5-47ec-943f-51117e7027be|0|0|0|0|0|0||||||||||||
1587867421383856128|平台转账|1483044|0|2022-11-03 02:01:09|143842f1-83ef-4360-8980-4908c7263559|0|0|0|0|0|0||||||||||||
1587867422809927680|平台转账|4870|0|2022-11-03 02:01:09|11354106-2ca8-48d7-b7b6-7f708757f6a3|0|0|0|0|0|0||||||||||||
1587867424332464128|平台转账|2633290|0|2022-11-03 02:01:09|b9f488ad-9e32-4306-b126-55d51ffebbbf|0|0|0|0|0|0||||||||||||
1587867426140196864|平台转账|3421672|0|2022-11-03 02:01:10|0b4700fb-1a9a-4067-8eca-8f48a1261665|0|0|0|0|0|0||||||||||||
1587867427436244992|平台转账|980538|0|2022-11-03 02:01:10|8e345f68-81cd-4a66-b1b2-df10508b64e1|0|0|0|0|0|0||||||||||||
1587867428732289024|平台转账|361009|0|2022-11-03 02:01:10|9fe27f14-b006-4c93-b18c-65572da6c102|0|0|0|0|0|0||||||||||||
1587867430145769472|平台转账|241469|0|2022-11-03 02:01:11|158e5191-5ed9-4470-92fa-a33b6616155a|0|0|0|0|0|0||||||||||||
1587867431450193920|平台转账|705467|0|2022-11-03 02:01:11|a293318f-7311-4726-9ff2-d6056077086e|0|0|0|0|0|0||||||||||||
1587867433052418048|平台转账|1321930|0|2022-11-03 02:01:11|24e69ec9-c04c-441e-a9cf-281a7ee36d31|0|0|0|0|0|0||||||||||||
