云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1597622789680930816|消费|32900|0|2022-11-30 00:05:42|2211303792969640634|32900|221130120631457318|132|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****YbDc|信用卡|5603020591235AN|5603020591235AN|
1597623154446974976|消费|32900|0|2022-11-30 00:07:33|2211303801669637314|32900|221130127931452352|132|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****YbDc|信用卡|5603020591235AN|5603020591235AN|
1597627574488412160|退款|7650|0|2022-11-30 00:24:32|2211303906069630260|7650|221130126031440103|-30|0|0|0|||||2211254915069902418|1595992129849536512|微信退货|o2mUlw****59zY|信用卡|5603020591235AN|5603020591235AN|
1597630462333820928|消费|53940|0|2022-11-30 00:36:05|2211303975969856969|53940|221130120531461060|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****d0fc|-|5603020591235AN|5603020591235AN|
1597633614655275008|消费|161820|0|2022-11-30 00:48:44|2211304051069843705|161820|221130123731448425|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****uW40|信用卡|5603020591235AN|5603020591235AN|
1597645489799434240|消费|161820|0|2022-11-30 01:35:49|2211304334269783851|161820|221130123931457729|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****QNIc|-|5603020591235AN|5603020591235AN|
1597651930862063616|平台转账|13684004|0|2022-11-30 02:01:18|42a97ced-fce4-441f-a8a5-a0f0df212407|0|0|0|0|0|0||||||||||||
1597651934087495680|平台转账|7270|0|2022-11-30 02:01:18|9c89053f-b6de-42c5-82b2-a3f2c2da06f3|0|0|0|0|0|0||||||||||||
1597651936620855296|平台转账|244916|0|2022-11-30 02:01:19|f42e0109-2f1f-484d-a00b-3f8e43b38837|0|0|0|0|0|0||||||||||||
1597651938642497536|平台转账|27464168|0|2022-11-30 02:01:19|4b0ceb3d-5783-4e65-92f3-0e9f928c1435|0|0|0|0|0|0||||||||||||
1597651940357976064|平台转账|14342|0|2022-11-30 02:01:20|0e22d10a-5660-4a66-9318-f9d4da889944|0|0|0|0|0|0||||||||||||
1597651942501257216|平台转账|299455|0|2022-11-30 02:01:20|f0e46170-a24b-47d5-ab54-8f1c052045d7|0|0|0|0|0|0||||||||||||
1597651944069935104|平台转账|6493490|0|2022-11-30 02:01:21|b827f68b-f44c-4996-8ab8-0f3641531563|0|0|0|0|0|0||||||||||||
1597651945802178560|平台转账|5882181|0|2022-11-30 02:01:21|6fde27b9-754e-41fc-93ea-7ea846030c62|0|0|0|0|0|0||||||||||||
1597651948339728384|平台转账|67628|0|2022-11-30 02:01:22|d5ba3a31-2448-489c-baa5-aa5b06b25791|0|0|0|0|0|0||||||||||||
1597727338081030144|消费|107880|0|2022-11-30 07:01:05|2211306285669966430|107880|221130126431451202|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****H47g|信用卡|5603020591235AN|5603020591235AN|
1597728466281705472|消费|107880|0|2022-11-30 07:05:32|2211306312569107934|107880|221130123031454559|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****gFfQ|-|5603020591235AN|5603020591235AN|
1597731365338492928|消费|53940|0|2022-11-30 07:17:06|2211306381669184434|53940|221130125631452850|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****4M3E|-|5603020591235AN|5603020591235AN|
1597732769025236992|消费|46620|0|2022-11-30 07:22:38|2211306415069951706|46620|221130123631456240|186|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****4Ilc|-|5603020591235AN|5603020591235AN|
1597733303648010240|消费|114000|0|2022-11-30 07:24:49|2211306427869122742|114000|221130126031445629|456|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ee2U|-|5603020591235AN|5603020591235AN|
1597738311328215040|消费|107880|0|2022-11-30 07:44:43|2211306547269986311|107880|221130127931459324|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Ei8w|信用卡|5603020591235AN|5603020591235AN|
1597738560960598016|消费|11300|0|2022-11-30 07:45:37|2211306553169795494|11300|221130120731455700|45|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****zAnw|-|5603020591235AN|5603020591235AN|
1597741628846518272|消费|53500|0|2022-11-30 07:57:57|2211306626369978075|53500|221130126531450830|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****DBHs|-|5603020591235AN|5603020591235AN|
1597742356117856256|消费|228000|0|2022-11-30 08:00:45|2211306643669955032|228000|221130129731460865|912|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****L50c|-|5603020591235AN|5603020591235AN|
1597742366507147264|消费|88500|0|2022-11-30 08:00:47|2211306643969672760|88500|221130127331461838|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ajqw|-|5603020591235AN|5603020591235AN|
1597742525018292224|消费|13800|0|2022-11-30 08:01:22|2211306647769177624|13800|221130120531469116|55|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****S3AQ|-|5603020591235AN|5603020591235AN|
