云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1591823247907753984|消费|147100|0|2022-11-14 00:00:44|2211145521168303881|147100|221114120530391402|588|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****a2Qw|信用卡|5603020591235AN|5603020591235AN|
1591853671073718272|平台转账|10135852|0|2022-11-14 02:01:05|0d47fd21-a3a5-46a8-9857-9fc484e241b3|0|0|0|0|0|0||||||||||||
1591853672466223104|平台转账|406268|0|2022-11-14 02:01:05|07dcb48e-1bc0-4951-8b26-b003602eb1fb|0|0|0|0|0|0||||||||||||
1591853674185895936|平台转账|60655|0|2022-11-14 02:01:05|2f861f77-5614-4dfd-bb18-af2ec3c60c00|0|0|0|0|0|0||||||||||||
1591853675918143488|平台转账|363430|0|2022-11-14 02:01:06|b1f081a7-d17f-4c24-a07d-939dbfc5e9cf|0|0|0|0|0|0||||||||||||
1591853677008666624|平台转账|1513554|0|2022-11-14 02:01:06|665360b0-51f8-4a8b-8d20-4ae6eea6c108|0|0|0|0|0|0||||||||||||
1591853678094991360|平台转账|20098|0|2022-11-14 02:01:06|a408298d-d15f-4ecc-bccd-9a98c7760296|0|0|0|0|0|0||||||||||||
1591853679437164544|平台转账|10969081|0|2022-11-14 02:01:07|eb4c4c32-8379-4a77-adfd-853f0cfae599|0|0|0|0|0|0||||||||||||
1591853681098113024|平台转账|880879|0|2022-11-14 02:01:07|aca1c3de-89ae-44bb-a538-1b15bdb3152b|0|0|0|0|0|0||||||||||||
1591853682901655552|平台转账|9121251|0|2022-11-14 02:01:07|cf0995a8-3c20-4d62-aba9-6e1fb3ad9e71|0|0|0|0|0|0||||||||||||
1591853684289970176|平台转账|1659060|0|2022-11-14 02:01:08|f5fd2a5f-da32-4fad-a389-c0aa3758fe9a|0|0|0|0|0|0||||||||||||
1591853686286454784|平台转账|28286|0|2022-11-14 02:01:08|be198875-cabf-4b91-9ef0-0468475dc4ec|0|0|0|0|0|0||||||||||||
1591861243092680704|消费|41400|0|2022-11-14 02:31:18|2211146426968962591|41400|221114124330375054|166|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****7vck|-|5603020591235AN|5603020591235AN|
1591873614498504704|消费|21540|0|2022-11-14 03:20:29|2211146721968364057|21540|221114126030372236|86|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****gxhI|-|5603020591235AN|5603020591235AN|
1591926480831524864|消费|67752|0|2022-11-14 06:50:30|2211147982368646831|67752|221114120330377878|271|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ISYo|-|5603020591235AN|5603020591235AN|
1591926953043050496|消费|21540|0|2022-11-14 06:52:33|2211147993668379183|21540|221114120630388565|86|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****_soc|信用卡|5603020591235AN|5603020591235AN|
1591928053095731200|消费|21540|0|2022-11-14 06:56:48|2211148019868649681|21540|221114124430378925|86|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****_soc|信用卡|5603020591235AN|5603020591235AN|
1591934704464965632|消费|52500|0|2022-11-14 07:23:16|2211148178468856662|52500|221114120430386454|210|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****oaLc|-|5603020591235AN|5603020591235AN|
1591935122330882048|消费|161820|0|2022-11-14 07:24:52|2211148188468484452|161820|221114124530370735|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****nZPM|-|5603020591235AN|5603020591235AN|
1591936895103803392|消费|88500|0|2022-11-14 07:31:55|2211148230668817258|88500|221114121430387021|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****luF4|-|5603020591235AN|5603020591235AN|
1591940491094532096|消费|205200|0|2022-11-14 07:46:26|2211148316468675484|205200|221114120530396827|821|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****dVGQ|信用卡|5603020591235AN|5603020591235AN|
1591942010208526336|消费|157500|0|2022-11-14 07:52:18|2211148352668714205|157500|221114129630384303|630|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****aw0U|-|5603020591235AN|5603020591235AN|
1591942243713818624|消费|112500|0|2022-11-14 07:53:10|2211148358268900871|112500|221114128130390555|450|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****AQxc|-|5603020591235AN|5603020591235AN|
1591942311560876032|消费|88500|0|2022-11-14 07:53:42|2211148359868585739|88500|221114129930386934|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****-1oQ|信用卡|5603020591235AN|5603020591235AN|
1591942640536924160|消费|53940|0|2022-11-14 07:54:42|2211148367668758677|53940|221114129930387019|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****4CM8|-|5603020591235AN|5603020591235AN|
1591943227433304064|消费|61800|0|2022-11-14 07:57:05|2211148381668948577|61800|221114129430383740|247|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****kNV8|-|5603020591235AN|5603020591235AN|
1591943313504612352|消费|53940|0|2022-11-14 07:57:24|2211148383768781297|53940|221114122330384897|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****tbJw|-|5603020591235AN|5603020591235AN|
1591943324707590144|消费|52500|0|2022-11-14 07:57:27|2211148384068350477|52500|221114121430388646|210|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****jm9Y|-|5603020591235AN|5603020591235AN|
1591943390826606592|消费|53940|0|2022-11-14 07:57:45|2211148385568226709|53940|221114125630383963|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****d_ts|-|5603020591235AN|5603020591235AN|
1591944459619155968|消费|58400|0|2022-11-14 08:01:58|2211148411068604994|58400|221114120830383644|234|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****jj7Y|-|5603020591235AN|5603020591235AN|
1591944468150358016|消费|53940|0|2022-11-14 08:01:59|2211148411268844225|53940|221114129230396943|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Bv_c|-|5603020591235AN|5603020591235AN|
1591944686329671680|消费|28600|0|2022-11-14 08:02:51|2211148416468909780|28600|221114120430389287|114|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Kx7o|-|5603020591235AN|5603020591235AN|
1591944782886748160|消费|88500|0|2022-11-14 08:03:13|2211148418768179631|88500|221114129830388860|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Kx7o|-|5603020591235AN|5603020591235AN|
1591944920245997568|消费|28000|0|2022-11-14 08:03:49|2211148422068912746|28000|221114128330380029|112|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****S0cQ|-|5603020591235AN|5603020591235AN|
1591945369443373056|消费|15400|0|2022-11-14 08:05:33|2211148432768467607|15400|221114126030377981|62|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****HZbg|信用卡|5603020591235AN|5603020591235AN|
1591947232528048128|消费|410480|0|2022-11-14 08:13:00|2211148477168509994|410480|221114121830396149|1642|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****s490|-|5603020591235AN|5603020591235AN|
1591948830436245504|消费|113050|0|2022-11-14 08:19:19|2211148515268877487|113050|221114129830390063|452|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****80FI|-|5603020591235AN|5603020591235AN|
1591948880818225152|消费|172620|0|2022-11-14 08:19:32|2211148516468749264|172620|221114124330381869|690|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****sjQQ|-|5603020591235AN|5603020591235AN|
1591949462182309888|消费|21540|0|2022-11-14 08:21:50|2211148530368227832|21540|221114126230388607|86|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****174o|-|5603020591235AN|5603020591235AN|
1591950445897588736|消费|93700|0|2022-11-14 08:25:45|2211148553768146739|93700|221114124130387564|375|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****yDuc|-|5603020591235AN|5603020591235AN|
1591952239709134848|消费|7350|0|2022-11-14 08:32:56|2211148596568980724|7350|221114122630387020|29|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****x7Qo|信用卡|5603020591235AN|5603020591235AN|
1591952591321833472|消费|13000|0|2022-11-14 08:34:21|2211148604968493902|13000|221114129530384578|52|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****7hFE|-|5603020591235AN|5603020591235AN|
1591952752366338048|消费|130800|0|2022-11-14 08:34:54|2211148608768198181|130800|221114123730385213|523|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****-Ib4|-|5603020591235AN|5603020591235AN|
1591953551112810496|消费|265500|0|2022-11-14 08:38:07|2211148627768462477|265500|221114120430391738|1062|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****WoWw|-|5603020591235AN|5603020591235AN|
1591953885088460800|消费|53940|0|2022-11-14 08:39:23|2211148635768288966|53940|221114120630395684|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****r55M|-|5603020591235AN|5603020591235AN|
1591953885457559552|消费|161820|0|2022-11-14 08:39:25|2211148635768725850|161820|221114123330386284|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****qA_g|-|5603020591235AN|5603020591235AN|
1591953986921971712|消费|53940|0|2022-11-14 08:39:48|2211148638268478072|53940|221114125130382749|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****7VpA|信用卡|5603020591235AN|5603020591235AN|
1591954261531443200|消费|205200|0|2022-11-14 08:40:53|2211148644768501526|205200|221114129130395644|821|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****3vXM|-|5603020591235AN|5603020591235AN|
1591954917407334400|消费|23500|0|2022-11-14 08:43:30|2211148660368013509|23500|221114126230390149|94|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****QUZI|-|5603020591235AN|5603020591235AN|
1591954952714985472|消费|38900|0|2022-11-14 08:43:42|2211148661268744966|38900|221114123930396273|156|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****wIP4|-|5603020591235AN|5603020591235AN|
1591955137578930176|消费|17600|0|2022-11-14 08:44:48|2211148665668914515|17600|221114128930398818|70|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****6380|-|5603020591235AN|5603020591235AN|
