云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1595084723758047232|消费|88500|0|2022-11-23 00:00:16|2211233280769357739|88500|221123129730982410|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****8ssY|-|5603020591235AN|5603020591235AN|
1595084918679937024|消费|88500|0|2022-11-23 00:01:04|2211233285469915362|88500|221123120230981172|354|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****8ssY|-|5603020591235AN|5603020591235AN|
1595095717074968576|消费|112500|0|2022-11-23 00:43:54|2211233542869004948|112500|221123127130975590|450|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****tY9M|-|5603020591235AN|5603020591235AN|
1595101152662261760|平台转账|17850115|0|2022-11-23 01:05:25|135c0f46-99ce-47e0-94e2-6cbfcc50ffb4|0|0|0|0|0|0||||||||||||
1595101154386128896|平台转账|300493|0|2022-11-23 01:05:25|1ab6ea0b-8ed7-487f-b242-9f25919f43b3|0|0|0|0|0|0||||||||||||
1595101155858325504|平台转账|78538|0|2022-11-23 01:05:25|3f9c5177-a033-4f71-a82b-cf73d5581e1e|0|0|0|0|0|0||||||||||||
1595101157066280960|平台转账|4870|0|2022-11-23 01:05:26|6e941414-316d-4f89-a4a9-5ce8c311c947|0|0|0|0|0|0||||||||||||
1595101158249074688|平台转账|358460|0|2022-11-23 01:05:26|4f54f7cb-bb76-4829-ba06-7481a6eca6af|0|0|0|0|0|0||||||||||||
1595101159666753536|平台转账|15916170|0|2022-11-23 01:05:26|43f69564-a79f-47ed-903f-7b79cb4c7a4d|0|0|0|0|0|0||||||||||||
1595101161042485248|平台转账|451119|0|2022-11-23 01:05:27|578b0e9a-bf12-49ce-bb2b-16d3d5289ad5|0|0|0|0|0|0||||||||||||
1595101162137198592|平台转账|13818397|0|2022-11-23 01:05:27|bf69afa0-fab2-4ac4-b610-770557077336|0|0|0|0|0|0||||||||||||
1595101163621990400|平台转账|1486843|0|2022-11-23 01:05:27|4fe4d6b6-5de0-403e-a940-ea6d68e595b8|0|0|0|0|0|0||||||||||||
1595101165031264256|平台转账|19621|0|2022-11-23 01:05:28|b36b4146-8edd-4de9-801a-6fb089913868|0|0|0|0|0|0||||||||||||
1595111885261258752|消费|11|0|2022-11-23 01:48:11|2211233928369492863|11|221123124530968933|0|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****0JWw|-|5603020591235AN|5603020591235AN|
1595112640043028480|消费|11|0|2022-11-23 01:51:12|2211233946369267936|11|221123112646752336|0|0|0|0||||WECHATPAY_MINIPROGRAM_ORG|||微信支付|o3OMr5****l4aU|-|561301059126Z30|5533020591240AP|
1595115583525888000|消费|161820|0|2022-11-23 02:02:56|2211234016569082178|161820|221123120230981880|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****bLW4|-|5603020591235AN|5603020591235AN|
1595116109743263744|消费|107880|0|2022-11-23 02:04:58|2211234029069500358|107880|221123120930977122|432|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****D8iQ|-|5603020591235AN|5603020591235AN|
1595182487816904704|消费|112500|0|2022-11-23 06:28:45|2211235611669935591|112500|221123126830981058|450|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****l2as|-|5603020591235AN|5603020591235AN|
1595197515265744896|消费|161820|0|2022-11-23 07:28:28|2211235969969952337|161820|221123126930984921|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****SQWw|-|5603020591235AN|5603020591235AN|
1595200304918310912|消费|265500|0|2022-11-23 07:39:41|2211236036469476426|265500|221123123430985446|1062|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****rOVg|-|5603020591235AN|5603020591235AN|
1595201354094100480|消费|161820|0|2022-11-23 07:43:42|2211236061469179881|161820|221123128730984517|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Q9Ps|-|5603020591235AN|5603020591235AN|
1595202254124621824|消费|21800|0|2022-11-23 07:47:17|2211236082969641801|21800|221123125330977248|87|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****j594|-|5603020591235AN|5603020591235AN|
1595202429740130304|消费|12180|0|2022-11-23 07:47:56|2211236087169480340|12180|221123123930992344|49|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****sxm0|-|5603020591235AN|5603020591235AN|
1595202496425365504|消费|15450|0|2022-11-23 07:48:12|2211236088769713121|15450|221123129330991181|62|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****smec|-|5603020591235AN|5603020591235AN|
1595202963339481088|消费|53500|0|2022-11-23 07:50:04|2211236099869760025|53500|221123120630992954|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****Qx8Q|-|5603020591235AN|5603020591235AN|
1595203084718444544|消费|53940|0|2022-11-23 07:50:35|2211236102769275071|53940|221123122230994052|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****II5M|-|5603020591235AN|5603020591235AN|
1595203396757893120|消费|161820|0|2022-11-23 07:51:57|2211236110169305616|161820|221123128230976235|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****nUCI|信用卡|5603020591235AN|5603020591235AN|
1595203943690940416|消费|53940|0|2022-11-23 07:53:58|2211236123269932516|53940|221123128830987713|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****sxgg|-|5603020591235AN|5603020591235AN|
1595204254807638016|消费|112500|0|2022-11-23 07:55:13|2211236130669235049|112500|221123120430988723|450|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****LzG4|-|5603020591235AN|5603020591235AN|
1595204366883622912|消费|161820|0|2022-11-23 07:55:38|2211236133369445410|161820|221123128230976468|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****aU0s|信用卡|5603020591235AN|5603020591235AN|
1595205090388488192|退款资金调拨|11|0|2022-11-23 07:58:26|2211236150569800220|11|221123110346757636|0|0|0|0||||TLT_TRANSFER_REFUND_VSP|||充值|200581****8773|借记卡|561301059126Z30|5533020591240AP|
1595205092791824384|退款|11|0|2022-11-23 07:58:27|2211236149569896876|11|221123114446758318|0|0|0|0|||||2211233946369267936|1595112640043028480|微信退货|o3OMr5****l4aU|-|561301059126Z30|5533020591240AP|
1595205079420375040|消费|130800|0|2022-11-23 07:58:30|2211236150269331737|130800|221123122330984837|523|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****-bXA|-|5603020591235AN|5603020591235AN|
1595205094037528576|消费|53940|0|2022-11-23 07:58:36|2211236150669562692|53940|221123122030987404|216|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****kKOk|-|5603020591235AN|5603020591235AN|
1595205694250827776|消费|161820|0|2022-11-23 08:01:01|2211236164969587192|161820|221123128430983626|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****131I|-|5603020591235AN|5603020591235AN|
